rank,aspect,mention_count,pct_of_aspects,mean_sentiment,median_sentiment,std_sentiment
250,national park experience,6,0.1,4.667,5.0,0.516
251,art,5,0.0,3.8,3.0,1.095
252,local attitude,5,0.0,3.4,4.0,1.817
253,public transit,5,0.0,3.4,3.0,1.14
254,photography opportunities,5,0.0,4.6,5.0,0.548
255,airport,5,0.0,3.2,3.0,0.447
256,family activities,5,0.0,3.2,3.0,1.095
257,island,5,0.0,3.6,3.0,0.894
258,local experiences,5,0.0,4.6,5.0,0.894
259,boat trip,5,0.0,4.0,4.0,1.0
260,comfort,5,0.0,3.2,4.0,1.643
261,train journey,5,0.0,4.0,4.0,0.0
262,local customs,5,0.0,4.0,4.0,1.0
263,romance,5,0.0,5.0,5.0,0.0
264,local atmosphere,5,0.0,3.4,4.0,1.817
265,lake scenery,5,0.0,4.8,5.0,0.447
266,ease of travel,5,0.0,5.0,5.0,0.0
267,cafe,5,0.0,4.4,4.0,0.548
268,price,5,0.0,3.6,5.0,1.949
269,airport transportation,5,0.0,3.6,4.0,1.517
270,city worthiness,5,0.0,4.2,5.0,1.095
271,previous travel experience,5,0.0,4.8,5.0,0.447
272,regional visit,5,0.0,3.4,3.0,0.894
273,bus service,5,0.0,3.2,3.0,0.447
274,diving,5,0.0,5.0,5.0,0.0
275,cultural activities,5,0.0,4.2,4.0,0.837
276,travel route,5,0.0,3.4,3.0,0.548
277,travel restrictions,5,0.0,2.2,2.0,1.095
278,dining options,5,0.0,3.6,4.0,1.517
279,hidden gems,5,0.0,3.8,4.0,0.447
280,island visit,5,0.0,4.2,4.0,0.837
281,tourist traffic,5,0.0,3.4,3.0,0.548
282,town character,5,0.0,3.8,4.0,0.837
283,accommodation prices,5,0.0,3.0,3.0,1.225
284,accommodation deals,5,0.0,4.0,4.0,0.0
285,seasonal timing,5,0.0,3.2,3.0,1.304
286,tours,5,0.0,4.0,5.0,1.414
287,tourist information,5,0.0,3.2,3.0,1.789
288,general experience,5,0.0,3.4,3.0,1.14
289,bar,5,0.0,4.4,4.0,0.548
290,seasonal experience,5,0.0,4.2,5.0,1.304
291,accommodation/stopping point,5,0.0,3.0,3.0,0.0
292,accommodation booking,5,0.0,4.0,4.0,0.0
293,flight duration,5,0.0,3.4,4.0,1.342
294,town charm,5,0.0,4.6,5.0,0.548
295,season,5,0.0,3.2,3.0,0.837
296,navigation,5,0.0,4.0,4.0,1.225
297,payment methods,5,0.0,4.0,4.0,1.0
298,festival experience,5,0.0,4.6,5.0,0.548
299,charm,5,0.0,4.2,5.0,1.789
300,temples and shrines,4,0.0,4.25,5.0,1.5
301,landscape,4,0.0,5.0,5.0,0.0
302,landmark,4,0.0,4.25,4.5,0.957
303,mountain scenery,4,0.0,5.0,5.0,0.0
304,tourist stops,4,0.0,4.0,4.0,0.0
305,city duration,4,0.0,3.0,3.0,1.155
306,tourism,4,0.0,4.0,4.0,1.155
307,city break,4,0.0,4.0,4.0,1.155
308,cultural interaction,4,0.0,3.75,3.5,0.957
309,night markets,4,0.0,4.75,5.0,0.5
310,cultural sensitivity,4,0.0,4.5,4.5,0.577
311,churches,4,0.0,4.75,5.0,0.5
312,temperature,4,0.0,3.0,3.0,1.633
313,travel documentation,4,0.0,3.25,3.0,0.5
314,daytrip options,4,0.0,5.0,5.0,0.0
315,racism and discrimination,4,0.0,1.0,1.0,0.0
316,culture and people,4,0.0,5.0,5.0,0.0
317,things to do,4,0.0,3.5,3.5,1.732
318,wine tasting,4,0.0,4.0,4.5,1.414
319,pollution,4,0.0,1.0,1.0,0.0
320,luggage handling,4,0.0,3.0,2.5,1.414
321,coastline,4,0.0,4.25,5.0,1.5
322,wildlife experience,4,0.0,5.0,5.0,0.0
323,pace of life,4,0.0,4.75,5.0,0.5
324,coffee shops,4,0.0,4.25,4.5,0.957
325,accommodations,4,0.0,4.0,4.0,0.816
326,local attractions,4,0.0,4.5,4.5,0.577
327,connectivity,4,0.0,3.75,4.0,0.5
328,convenience,4,0.0,4.75,5.0,0.5
329,local attitude towards tourism,4,0.0,2.5,2.0,1.0
330,overall travel experience,4,0.0,4.5,4.5,0.577
331,town,4,0.0,4.25,4.0,0.5
332,time to visit,4,0.0,4.25,4.0,0.5
333,accommodation pricing,4,0.0,2.0,2.0,0.0
334,planning and research,4,0.0,4.5,4.5,0.577
335,ticketing system,4,0.0,3.5,3.5,1.291
336,mention,4,0.0,3.0,3.0,0.0
337,crowd level,4,0.0,2.5,2.0,1.0
338,mexico city,4,0.0,3.0,3.0,0.816
339,crowd management,4,0.0,2.25,2.5,0.957
340,clothing,4,0.0,3.25,3.0,0.5
341,theme parks,4,0.0,3.5,3.5,1.291
342,cruise,4,0.0,3.75,4.0,0.5
343,previous destinations,4,0.0,3.0,3.0,0.0
344,entertainment,4,0.0,4.75,5.0,0.5
345,autumn scenery,4,0.0,5.0,5.0,0.0
346,road trips,4,0.0,4.25,4.5,0.957
347,side trips,4,0.0,2.0,2.0,0.0
348,seasonal travel recommendation,4,0.0,4.0,4.0,0.0
349,uber service,4,0.0,3.25,3.5,2.062
350,social experience,4,0.0,4.75,5.0,0.5
351,destinations,4,0.0,5.0,5.0,0.0
352,general impression,4,0.0,4.5,4.5,0.577
353,general information,4,0.0,3.75,4.0,0.5
354,beach conditions,4,0.0,2.25,2.0,1.258
355,romantic atmosphere,4,0.0,5.0,5.0,0.0
356,historic sites,4,0.0,5.0,5.0,0.0
357,restaurant options,4,0.0,4.0,4.0,0.816
358,downtown area,4,0.0,4.25,4.0,0.5
359,getting around,4,0.0,3.5,3.0,1.0
360,great wall,4,0.0,3.75,4.0,1.258
361,river cruise,4,0.0,4.25,4.5,0.957
362,historical significance,4,0.0,4.5,5.0,1.0
363,urban landscape,4,0.0,3.0,3.0,1.155
364,festival,4,0.0,5.0,5.0,0.0
365,sights,4,0.0,4.0,4.0,0.816
366,food pricing,4,0.0,3.25,3.5,2.062
367,food prices,4,0.0,1.5,1.5,0.577
368,destination flexibility,4,0.0,4.0,4.0,0.816
369,safety and security,4,0.0,3.0,2.5,1.414
370,unique experiences,4,0.0,3.75,3.5,0.957
371,destination interest,4,0.0,4.75,5.0,0.5
372,family travel,4,0.0,3.5,3.0,1.0
373,archeological site,4,0.0,4.25,4.5,0.957
374,island exploration,4,0.0,4.0,4.0,0.0
375,undiscovered destinations,4,0.0,5.0,5.0,0.0
376,signage,3,0.0,2.667,2.0,2.082
377,local knowledge,3,0.0,4.333,4.0,0.577
378,tourism popularity,3,0.0,4.333,5.0,1.155
379,ferry ride,3,0.0,4.333,4.0,0.577
380,flight availability,3,0.0,4.0,4.0,0.0
381,flight,3,0.0,3.0,4.0,1.732
382,tourism level,3,0.0,2.667,2.0,2.082
383,payment options,3,0.0,3.0,3.0,1.0
384,parks and gardens,3,0.0,4.667,5.0,0.577
385,city visit consideration,3,0.0,3.0,3.0,0.0
386,flexibility,3,0.0,4.667,5.0,0.577
387,local life,3,0.0,4.667,5.0,0.577
388,cliffs of moher,3,0.0,4.667,5.0,0.577
389,local market,3,0.0,4.333,4.0,0.577
390,city visit duration,3,0.0,3.667,4.0,1.528
391,local transportation,3,0.0,4.0,4.0,0.0
392,park,3,0.0,4.667,5.0,0.577
393,local restaurants,3,0.0,4.667,5.0,0.577
394,city stay,3,0.0,3.667,4.0,1.528
395,regional characteristics,3,0.0,4.333,4.0,0.577
396,group size,3,0.0,3.667,4.0,0.577
397,flight connectivity,3,0.0,2.0,2.0,0.0
398,nature and scenery,3,0.0,4.333,4.0,0.577
399,natural wonder,3,0.0,5.0,5.0,0.0
400,naval experience,3,0.0,3.0,3.0,0.0
401,seafood,3,0.0,4.667,5.0,0.577
402,seasonal accessibility,3,0.0,2.0,2.0,0.0
403,forest tours,3,0.0,4.333,4.0,0.577
404,general beauty,3,0.0,5.0,5.0,0.0
405,night life,3,0.0,2.667,3.0,0.577
406,city beauty,3,0.0,4.0,5.0,1.732
407,city character,3,0.0,4.0,4.0,1.0
408,mountains,3,0.0,4.667,5.0,0.577
409,oaxaca,3,0.0,3.333,3.0,0.577
410,old city center,3,0.0,4.0,5.0,1.732
411,seasonality,3,0.0,4.333,5.0,1.155
